# SNAP pin export table
#
# Product:	indices_20160510_SH_L8_sand_megarippel_tao
# Created on:	Mon Aug 28 14:33:21 CEST 2017

# Wavelength:								0.0	0.0	0.0	0.0	0.0	0.0	443.0	482.6	561.3	654.60004	864.6	1609.0	2201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	albedo_vis	flh	index_flags	muschelindex	muschelindex_nds	ndvi	reflec_443	reflec_483	reflec_561	reflec_655	reflec_865	reflec_1609	reflec_2201	reflec_sum	sand-tr_abundance	sand-wc_abundance	schatten_abundance	steig_blue_nir_mal_blue	steigung_nIR_SWIR1	steigung_red_nIR	summary_error	tsx_mean	tsx_skew	tsx_stdv
pin_28	1849.4998521477255	2792.4924811317896	8.649173999999999	54.48192999999999	java.awt.Color[r=0,g=0,b=255]	Pin 28		0.061380874	0.004761515	0.0	0.14603367	0.041002825	0.2044482	0.028986389	0.038864568	0.063336365	0.081941694	0.12405795	0.06102764	0.028950583	0.18414262	0.31171936	1.0148604	-0.32657972	0.15977678	-0.08467264	0.20055361	0.002901899	0.0	0.0	0.0
pin_34	2056.4996164803374	3539.4915323362375	8.746266	54.28076600000001	java.awt.Color[r=0,g=0,b=255]	Pin 34		0.0450106	0.0055362396	0.0	0.09775865	0.053142205	0.26024812	0.019164229	0.026363632	0.04772295	0.06094522	0.10382684	0.0803148	0.05073793	0.1350318	0.5869808	0.3670822	0.045937013	0.09747017	-0.031585228	0.20419823	0.0020675133	0.0	0.0	0.0
pin_35	2070.499925542745	3557.49596562637	8.752746	54.27592499999995	java.awt.Color[r=0,g=0,b=255]	Pin 35		0.044559885	0.0042060595	0.0	0.09857703	0.045301653	0.23875476	0.01594969	0.02391447	0.046243243	0.063521944	0.10336763	0.05332298	0.025940152	0.13367966	0.2943254	0.7372607	-0.03158611	0.10522051	-0.06722817	0.18974136	0.0029984214	0.0	0.0	0.0
pin_36	2099.500035281749	3747.492611360581	8.7663965	54.224723999999995	java.awt.Color[r=0,g=0,b=255]	Pin 36		0.04831017	0.003955541	0.0	0.087046996	0.02407446	0.17727688	0.019240761	0.028863816	0.04989148	0.06617521	0.09469351	0.029009935	0.01433214	0.1449305	0.08183231	0.9881678	-0.07000016	0.099188395	-0.088236935	0.13580146	0.0014432702	0.0	0.0	0.0
pin_37	1971.4993410850661	3689.5060021627073	8.707387	54.24023	java.awt.Color[r=0,g=0,b=255]	Pin 37		0.05334456	0.0030730646	0.0	0.10202031	0.024984594	0.17342883	0.02294002	0.033634588	0.05430507	0.072094016	0.10234714	0.046613295	0.025455423	0.16003367	0.23368573	0.8932008	-0.12688653	0.11228228	-0.07487084	0.14406252	0.0024691238	0.0	0.0	0.0
pin_41	2032.5003833972091	3989.495620076886	8.735983	54.159409999999966	java.awt.Color[r=0,g=0,b=255]	Pin 41		0.046685893	0.0045121033	0.0	0.086435996	0.026900424	0.18815547	0.017710024	0.026669776	0.048615873	0.06477204	0.094795555	0.04885836	0.025838103	0.14005768	0.26826057	0.7362804	-0.0045409612	0.093515836	-0.06171037	0.14296913	0.0012000629	0.0	0.0	0.0
pin_42	1859.5015169869991	4036.492357800839	8.656608999999996	54.146538	java.awt.Color[r=0,g=0,b=255]	Pin 42		0.064978085	0.004867628	0.0	0.13777843	0.02242766	0.15171392	0.029751742	0.04121168	0.06693357	0.086789	0.117833	0.054598585	0.031272184	0.19493425	0.2776239	1.0547938	-0.3324177	0.1515863	-0.08494683	0.14782862	0.004707747	0.0	0.0	0.0
pin_49	2054.5014399606775	4595.503495153505	8.747086	53.996033	java.awt.Color[r=0,g=0,b=255]	Pin 49		0.04722165	0.005544571	0.0	0.101352185	0.037003998	0.21317667	0.016204813	0.02467983	0.04971289	0.06727222	0.1037248	0.04694495	0.023695085	0.14166494	0.23584823	0.8417629	-0.07761112	0.110203974	-0.076276	0.17358372	0.0021771796	0.0	0.0	0.0
pin_50	1969.5003722719732	4487.500840612408	8.707984	54.02506600000001	java.awt.Color[r=0,g=0,b=255]	Pin 50		0.048599303	0.0047673266	0.0	0.092970654	0.027392272	0.18636964	0.01918974	0.0277668	0.05065684	0.067374274	0.09823969	0.053986296	0.030073114	0.14579791	0.314837	0.71883607	-0.033673096	0.09964019	-0.05944841	0.14697818	0.0013487234	0.0	0.0	0.0
pin_51	2007.498514034308	4190.506579865298	8.724856	54.105185999999975	java.awt.Color[r=0,g=0,b=255]	Pin 51		0.048769385	0.0041550808	0.0	0.1054547	0.030334372	0.19019458	0.014495501	0.02478188	0.050223134	0.071303144	0.104796305	0.0438835	0.01976622	0.14630815	0.1925237	0.9209384	-0.11346208	0.115049966	-0.081828065	0.15949126	0.002998099	0.0	0.0	0.0
