# SNAP pin export table
#
# Product:	wattklassen_20160510_SH_L8_megarippel_adjust_server
# Created on:	Thu Aug 24 16:54:17 CEST 2017

# Wavelength:								0.0
Name	X	Y	Lon	Lat	Color	Label	Desc	Band_1
pin_1	1483.498365822776	1062.4973500302062	8.473702999999995	54.94771599999999	java.awt.Color[r=0,g=0,b=255]	Pin 1		1.0
pin_2	1443.5002587887845	1104.5010031983877	8.455122999999995	54.93630999999999	java.awt.Color[r=0,g=0,b=255]	Pin 2		1.0
pin_5	1432.5003951323529	1537.4980390841451	8.451559999999995	54.81955700000001	java.awt.Color[r=0,g=0,b=255]	Pin 5		1.0
pin_9	1866.50076260512	1839.5011687269123	8.654878999999996	54.73888399999999	java.awt.Color[r=0,g=0,b=255]	Pin 9		1.0
pin_12	1715.500234015152	2179.4997004335746	8.585455999999999	54.647000000000006	java.awt.Color[r=0,g=0,b=255]	Pin 12		1.0
pin_13	1502.5014487332276	2217.503191309329	8.486563999999998	54.63637499999998	java.awt.Color[r=0,g=0,b=255]	Pin 13		1.0
pin_14	2200.501655438546	2269.4889320594257	8.811048	54.623300000000015	java.awt.Color[r=0,g=0,b=255]	Pin 14		1.0
pin_16	1534.4992299059018	1752.5002102492997	8.499895999999996	54.7618	java.awt.Color[r=0,g=0,b=255]	Pin 16		1.0
pin_17	1725.4991661110641	1741.5001323070999	8.588911999999999	54.7651	java.awt.Color[r=0,g=0,b=255]	Pin 17		1.0
pin_18	1781.4991302933486	1558.5065243578827	8.614553	54.81452000000001	java.awt.Color[r=0,g=0,b=255]	Pin 18		1.0
pin_19	1924.4998407125668	1788.4918501550642	8.681795999999999	54.75270999999998	java.awt.Color[r=0,g=0,b=255]	Pin 19		1.0
pin_20	1924.5004780469192	2031.4991104800874	8.682309	54.687194999999996	java.awt.Color[r=0,g=0,b=255]	Pin 20		1.0
pin_21	1367.4999728257224	2082.4958339989184	8.423304999999994	54.672489999999975	java.awt.Color[r=0,g=0,b=255]	Pin 21		1.0
pin_22	1257.5012257743006	2084.4976346566964	8.372144999999993	54.67169599999997	java.awt.Color[r=0,g=0,b=255]	Pin 22		1.0
pin_23	2013.5017721736533	1982.4881574289252	8.723637	54.70051000000001	java.awt.Color[r=0,g=0,b=255]	Pin 23		1.0
pin_24	2029.500530016333	2054.507815761833	8.731213	54.68111	java.awt.Color[r=0,g=0,b=255]	Pin 24		1.0
pin_25	1968.4999303131112	2334.501634938394	8.70338	54.605556	java.awt.Color[r=0,g=0,b=255]	Pin 25		1.0
pin_26	2080.4996977633605	2743.496628477207	8.756055	54.495403000000024	java.awt.Color[r=0,g=0,b=255]	Pin 26		1.0
pin_27	2173.5014317408745	2663.5013816974124	8.799026000000001	54.51705000000001	java.awt.Color[r=0,g=0,b=255]	Pin 27		1.0
pin_28	1849.4998521477255	2792.4924811317896	8.649173999999999	54.48192999999999	java.awt.Color[r=0,g=0,b=255]	Pin 28		1.0
pin_34	2056.4996164803374	3539.4915323362375	8.746266	54.28076600000001	java.awt.Color[r=0,g=0,b=255]	Pin 34		1.0
pin_35	2070.499925542745	3557.495965626277	8.752746	54.27592499999998	java.awt.Color[r=0,g=0,b=255]	Pin 35		1.0
pin_36	2099.500035281749	3747.492611360581	8.7663965	54.224723999999995	java.awt.Color[r=0,g=0,b=255]	Pin 36		1.0
pin_37	1971.4993410850661	3689.5060021627073	8.707387	54.24023	java.awt.Color[r=0,g=0,b=255]	Pin 37		1.0
pin_41	2032.5003833972091	3989.495620076824	8.735983	54.15940999999998	java.awt.Color[r=0,g=0,b=255]	Pin 41		1.0
pin_42	1859.5015169869991	4036.492357800839	8.656608999999996	54.146538	java.awt.Color[r=0,g=0,b=255]	Pin 42		1.0
pin_49	2054.5014399606775	4595.503495153505	8.747086	53.996033	java.awt.Color[r=0,g=0,b=255]	Pin 49		1.0
pin_50	1969.5003722719732	4487.500840612408	8.707984	54.02506600000001	java.awt.Color[r=0,g=0,b=255]	Pin 50		1.0
pin_51	2007.498514034308	4190.506579865298	8.724856	54.105185999999975	java.awt.Color[r=0,g=0,b=255]	Pin 51		1.0
pin_54	2065.501330196473	4702.4977569494085	8.752291	53.967194	java.awt.Color[r=0,g=0,b=255]	Pin 54		1.0
pin_66	2330.5	3599.5	8.872568127937932	54.26478578159341	java.awt.Color[r=0,g=0,b=255]	Pin 66		1.0
pin_56	1110.5	1598.5	8.301516062216987	54.80233977940295	java.awt.Color[r=0,g=0,b=255]	Pin 56		13.0
pin_57	1119.5	1653.5	8.305969998971994	54.787536868012154	java.awt.Color[r=0,g=0,b=255]	Pin 57		13.0
pin_38	2206.4999792334156	3671.4960043849114	8.815540999999998	54.24529999999999	java.awt.Color[r=0,g=0,b=255]	Pin 38		2.0
pin_43	2409.4996338563174	4145.494636389862	8.909278	54.11760300000001	java.awt.Color[r=0,g=0,b=255]	Pin 43		2.0
pin_44	2550.5001010552264	4373.501772166509	8.974030499999998	54.056156	java.awt.Color[r=0,g=0,b=255]	Pin 44		2.0
pin_48	2439.500706097798	4393.496445395549	8.923171	54.05074299999998	java.awt.Color[r=0,g=0,b=255]	Pin 48		2.0
pin_65	2324.5	3596.5	8.869802004187818	54.26559170390398	java.awt.Color[r=0,g=0,b=255]	Pin 65		2.0
pin_67	2146.5	3664.5	8.78790871923696	54.247140863912904	java.awt.Color[r=0,g=0,b=255]	Pin 67		2.0
