	expected_class	nodata	Wasser	Schill	Muschel	dense2	dense1	Strand	Sand	Misch	Misch2	Schlick	schlick_t	Wasser2
44	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
45	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11308950000000006	0.8869104999999999	0.11308950000000006	0.11308950000000006	0.11308950000000006
46	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
47	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
48	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
49	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
50	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
51	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35286999999999924	0.6471300000000008	0.35286999999999924	0.35286999999999924
52	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
53	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
54	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
55	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3215014999999999	0.6784985000000001	0.3215014999999999	0.3215014999999999
56	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
57	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
58	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7896954500000001	0.21030454999999992
59	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5345742849999999	0.4654257150000001
60	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
61	6.0	0.0	0.0	0.0	0.22011474999999997	0.0	0.77988525	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62	6.0	0.0	0.0	0.0	0.3865812499999999	0.0	0.6134187500000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
63	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
65	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
66	9.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
